seed,model_type,n_samples,pre_revision,j_percentage,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max
23,bernoulli,32,none,1.0,0.2816827940885268,0.3786589611913779,0.3870792057664541,0.2877125664306821,0.5,0.5389672775244486,0.5431579626602426,0.5921592245260834,0.281713659840329,0.7199733287447303,32,21,2,30
11,bernoulli,32,none,1.0,0.2628050932821406,0.3538270074241745,0.3572543017179788,0.2836725750712017,0.5,0.6248310711557671,0.5210389858393559,0.6303249309595158,0.277132114738911,0.6811541512427287,32,25,2,30
19,bernoulli,32,none,1.0,0.2625406370043384,0.3486718334939031,0.3572255204958811,0.259093655966384,0.5,0.5925128784136617,0.559999294333498,0.6570019758662057,0.2511788973857411,0.7516098017077129,32,2,2,30
18,bernoulli,32,none,1.0,0.2551565198785928,0.3480786211668073,0.3542824537208487,0.2703759047395662,0.5,0.6001453393428702,0.5862033770984388,0.6540433731791756,0.2594051872059776,0.7083455810307662,32,15,2,30
27,bernoulli,32,none,1.0,0.2652058098626277,0.3573605635957114,0.357048026761269,0.2776273566836894,0.5,0.5243971252078878,0.507862615823236,0.5899857448325018,0.2516317017662867,0.7434663815633167,32,11,2,30
24,bernoulli,32,none,1.0,0.3033161111455952,0.4055937271229844,0.4045161882516164,0.2843862746173031,0.5,0.5337577714012434,0.500759206121473,0.5957675753228122,0.2875422762802738,0.7054250358680058,32,5,2,30
46,bernoulli,32,none,1.0,0.2635622008369236,0.3473497496964923,0.3470687509822548,0.2870401701270524,0.5,0.5554194407456724,0.5243294654746053,0.619409090909091,0.262580548711939,0.7015940650561157,32,18,2,30
3,bernoulli,32,none,1.0,0.263686031385384,0.3555136641748119,0.3555176250686688,0.2827245153904151,0.5,0.6168666897559065,0.5299357014862442,0.6323879293469259,0.271633697171279,0.6854944359951212,32,21,2,30
12,bernoulli,32,none,1.0,0.2612527142616435,0.3504705744001546,0.3499837926960857,0.2839157346863748,0.5,0.5879491255961845,0.5179809220985692,0.6448648648648648,0.278360986247232,0.6425357710651828,32,16,2,30
48,bernoulli,32,none,1.0,0.2493177507291792,0.3417988368386778,0.3395839224071112,0.2556805750306088,0.5,0.6114553087607034,0.580042906548797,0.6266991548149655,0.2583310374547601,0.7379140389487896,32,2,2,30
4,bernoulli,32,none,1.0,0.264885124418101,0.3690853985846152,0.362194548366316,0.271341423435906,0.5,0.549423355278517,0.5512209926693747,0.6251186751957167,0.2581826500558318,0.7332959798291078,32,9,2,30
34,bernoulli,32,none,1.0,0.2554740187775339,0.3388540501755097,0.3393947551134056,0.2829628023378773,0.5,0.5002031606611799,0.5318789335362059,0.6115018051776945,0.259645850310873,0.7254823985061207,32,17,2,30
26,bernoulli,32,none,1.0,0.2766434868807539,0.3747949635733691,0.3743814293973217,0.2704035423740163,0.5,0.5654600220530888,0.5126872495495253,0.5954089529437778,0.2815402705301111,0.6623927601323185,32,4,2,30
1,bernoulli,32,none,1.0,0.2851917950149806,0.3833668062723165,0.3865293751974235,0.2792423168327541,0.5,0.5803524665581429,0.5254511996602732,0.6003538820864887,0.2846813296917106,0.6954738481138084,32,4,2,30
6,bernoulli,32,none,1.0,0.2833139137083001,0.3767077976883042,0.3780928267040372,0.2876795213435366,0.5,0.5822908445146013,0.5361385161799527,0.602000616179295,0.2786877131259169,0.7127104709287029,32,25,2,30
2,bernoulli,32,none,1.0,0.2490906419015744,0.3363782962678675,0.3414551361664349,0.2770370748932736,0.5,0.540772226443769,0.4970713019250253,0.5793123100303952,0.2404217105908797,0.7784400329280649,32,20,2,30
22,bernoulli,32,none,1.0,0.2876669860071337,0.3843199574207144,0.3840790834563514,0.2962763673581,0.5,0.5655807193896087,0.520975468625947,0.5858665374833475,0.2574658085751923,0.7932024006566818,32,20,2,30
36,bernoulli,32,none,1.0,0.2683254581435065,0.3678465063082405,0.3691085317072641,0.2649740208181296,0.5,0.552393158615813,0.5231544909473932,0.6168736465284838,0.2689195962771327,0.6948115083749503,32,4,2,30
32,bernoulli,32,none,1.0,0.2552009584697748,0.3349759290359884,0.3447308742696606,0.2839829593082701,0.5,0.4933806503573945,0.5107386153897782,0.6514312560824188,0.2777186532808601,0.6689234538071748,32,18,2,30
41,bernoulli,32,none,1.0,0.247683063042361,0.3199172954674043,0.3235316176469973,0.2765375831931498,0.5,0.580292007126009,0.5673188888999473,0.642386660337052,0.2493865488600096,0.7403684425291359,32,8,2,30
0,bernoulli,32,none,1.0,0.2871102443344553,0.3729809807704504,0.377196080474473,0.2831626600098422,0.5,0.5742567077592459,0.5122044960116027,0.6041242178581234,0.2646678340321203,0.7632414793328499,32,3,2,30
28,bernoulli,32,none,1.0,0.3027619872267655,0.4000958171464226,0.4005122302470345,0.2868291953966109,0.5,0.5566761095372994,0.5225495750708216,0.6178973874724585,0.2860405809090593,0.7019200503619767,32,2,2,30
45,bernoulli,32,none,1.0,0.2839001594986086,0.3797673145437885,0.3797997430426384,0.2768433179661435,0.5,0.559273935161573,0.5406842167209385,0.5961495848486034,0.2762179426649051,0.6738364261707666,32,2,2,30
8,bernoulli,32,none,1.0,0.2710017435670555,0.3675992767053426,0.3695776839650599,0.2838340177588425,0.5,0.5919418876117117,0.5339447426727536,0.6175853916043361,0.268460801792968,0.6874526015256732,32,30,2,30
44,bernoulli,32,none,1.0,0.2414511129672763,0.3182021495861273,0.3216150363604898,0.2818689423479005,0.5,0.5980129816123958,0.544170026577953,0.6041940065076312,0.2482532933930048,0.68453597063769,32,20,2,30
25,bernoulli,32,none,1.0,0.2914729780853866,0.3838319244911045,0.3839187208920708,0.285727803408636,0.5,0.5610295341790698,0.5218592881164053,0.5899110977924282,0.2617133837477126,0.7706156561116105,32,5,2,30
29,bernoulli,32,none,1.0,0.2835463844236633,0.3741382990231304,0.3736301874685724,0.287813646332884,0.5,0.6099287615818201,0.5541984562530674,0.6429629519901641,0.2825009289447736,0.685234759588929,32,6,2,30
5,bernoulli,32,none,1.0,0.2667278368027173,0.364307574025671,0.3648486216707922,0.2736357651305472,0.5,0.6134033508377094,0.5760373917008664,0.614719856434697,0.2726323672002749,0.6523358780871689,32,13,2,30
21,bernoulli,32,none,1.0,0.2567828308433774,0.3368699418079211,0.3511888531748589,0.271138169444971,0.5,0.6347274966200797,0.5116897879046216,0.6302668630034358,0.2638799905670983,0.6392311865457645,32,6,2,30
17,bernoulli,32,none,1.0,0.2654335650454836,0.3634411859694419,0.3625140343613052,0.271488615044066,0.5,0.5413259259259259,0.5284925925925926,0.6154947993183287,0.2590767898345716,0.7094962962962963,32,6,2,30
49,bernoulli,32,none,1.0,0.2596283887156215,0.347711151588558,0.348150769534939,0.2838493078440078,0.5,0.5191666666666667,0.5189924242424242,0.6066619899979634,0.2623851178459695,0.6675189393939395,32,20,2,30
9,bernoulli,32,none,1.0,0.2641738775218799,0.3577241297044324,0.3537768668496349,0.2823417850757449,0.5,0.6058361486486487,0.5803336148648649,0.6273141891891892,0.2628795729151876,0.7463555743243244,32,29,2,30
33,bernoulli,32,none,1.0,0.2926669919129659,0.3807783969964805,0.3803319947661889,0.3073119086802365,0.5,0.6176089211618258,0.5372939718764408,0.6254034117104657,0.2933463270229217,0.6804474988473952,32,27,2,30
37,bernoulli,32,none,1.0,0.2749962519260225,0.3727186866453796,0.3756760225854422,0.2765335418066481,0.5,0.5553823166374326,0.5607671596757544,0.6140814367280942,0.2621307262018953,0.7211683521369742,32,15,2,30
0,beta,54,none,1.0,0.2812334294206029,0.2894221079446017,0.3738885541682629,0.301735553105644,0.5,0.5994262141653827,0.5209716202790458,0.6118709209572154,0.2489982891474015,0.7794776173129256,54,19,2,30
7,beta,54,none,1.0,0.2606633385011235,0.2655911424039571,0.3410319679425377,0.2989707182712465,0.5,0.5319004597114033,0.4879724811646022,0.6023855510151961,0.2248784071143092,0.7683485506321033,54,27,2,30
18,beta,54,none,1.0,0.2534349321924364,0.2571557523199002,0.3386115283285899,0.2783318768156702,0.5,0.6126843537967741,0.5699020842644131,0.6287641256777059,0.2368558949060664,0.72863121114858,54,21,2,30
35,beta,54,none,1.0,0.2643191974672636,0.2779843092407951,0.3593374522953013,0.2873687221551561,0.5,0.5454291017293698,0.5208290369148278,0.5995917371142028,0.2433735201966488,0.7647526735998587,54,30,2,30
26,beta,54,none,1.0,0.2704064079292142,0.2780501141618063,0.3711951669343417,0.2909028263511403,0.5,0.5711279348089181,0.4366242637764569,0.6079660059704703,0.2525450089913264,0.7054567947718043,54,28,2,30
15,beta,54,none,1.0,0.2715243166076627,0.2734262600359693,0.3546370323339687,0.2941811588115316,0.5,0.5790624204584587,0.5190974561679318,0.6061490261210932,0.2362211789358157,0.7971147943523634,54,16,2,30
44,beta,54,none,1.0,0.2455455411145946,0.2443424230091414,0.3149490946932782,0.2733040756586434,0.5,0.5733501358501358,0.5221739596739596,0.5737516570923553,0.2284530896426247,0.7320937008437008,54,8,2,30
14,beta,54,none,1.0,0.2687058595514986,0.2775731145705573,0.3497474972967351,0.2953982390214696,0.5,0.5705784376909363,0.4644994434075178,0.5843049289821471,0.2341744677651519,0.7801166751759754,54,14,2,30
4,beta,54,none,1.0,0.2609914095805888,0.2676109655790356,0.3510725315780315,0.2739709963005347,0.5,0.5681467992716066,0.6468459634869497,0.6324570823800408,0.241381750746309,0.7334516194300479,54,9,2,30
32,beta,54,none,1.0,0.2566002609352322,0.2502376797470071,0.3277653357848267,0.2884640426863273,0.5,0.5454075032341525,0.5881650878437591,0.7032031276217322,0.2494266312672683,0.7096398614530736,54,18,2,30
39,beta,54,none,1.0,0.2838776809098822,0.299788434212449,0.3768917290689695,0.285651521515696,0.5,0.5229227943714874,0.5619605893643758,0.5750445337420771,0.248312837585116,0.8099617493130067,54,2,2,30
30,beta,54,none,1.0,0.2552470531414944,0.2556038373940411,0.350764162883594,0.2622592241848732,0.5,0.5441024648341721,0.5455058717253839,0.6517817344863078,0.2449608490398857,0.7067686153052007,54,4,2,30
34,beta,54,none,1.0,0.2566372643284113,0.2608255403139581,0.3388717057424321,0.2801481225983137,0.5,0.5165972292788673,0.5667869118991973,0.617191109285971,0.249286452876198,0.7376875656267995,54,10,2,30
23,beta,54,none,1.0,0.2748626897205522,0.2788211799626686,0.3626733020354863,0.2874998305154383,0.5,0.5886173965413404,0.6024477329433021,0.6365539591040752,0.255785021279321,0.7300180676245376,54,16,2,30
3,beta,54,none,1.0,0.2609072673438293,0.2705359874608856,0.3456440460241334,0.2871989155971355,0.5,0.561249228267253,0.4468445542019906,0.6085696215874354,0.25689974960309,0.6843650709994127,54,21,2,30
25,beta,54,none,1.0,0.2843482576099524,0.2912670943560428,0.3755759148096059,0.2992094013556457,0.5,0.5863083940998235,0.588818965804282,0.6089834515366431,0.2471029689753253,0.7846502180934306,54,18,2,30
6,beta,54,none,1.0,0.2738530271474279,0.2764997939234926,0.369975785191201,0.2917121641685513,0.5,0.6008747697974217,0.5822349381741647,0.642426335174954,0.2592605183057703,0.7124440936595633,54,25,2,30
42,beta,54,none,1.0,0.25435660110593,0.2543989536245137,0.3371222806296821,0.2818372344412144,0.5,0.6170513533555803,0.5354676492398962,0.674839327648004,0.2224127542295853,0.7932656655543197,54,29,2,30
22,beta,54,none,1.0,0.2838563948144284,0.3036725918521178,0.3762347635244742,0.3025806159584976,0.5,0.496318796266495,0.5224191342130673,0.5562653909813895,0.2441379470678326,0.7973058148267353,54,26,2,30
10,beta,54,none,1.0,0.2710914375360455,0.2817761215635074,0.3566341370308937,0.2780067283455936,0.5,0.544385026737968,0.5506090314913844,0.6023247177658942,0.2397082312494908,0.7678698752228165,54,5,2,30
38,beta,54,none,1.0,0.2764741939794738,0.2878701128956857,0.3623714950947321,0.2993911973318564,0.5,0.5620748491066664,0.5262362730286153,0.61280357183124,0.2709648870422213,0.6952819055779796,54,24,2,30
2,beta,54,none,1.0,0.2496047770236385,0.2435615003255484,0.3316195909279705,0.281370441820972,0.5,0.624540060983777,0.605724911163813,0.6301212639311043,0.2226082850542212,0.7920011976142264,54,20,2,30
46,beta,54,none,1.0,0.2628637575021047,0.2729420533033009,0.3462001223738028,0.2916809260197858,0.5,0.5164032926755994,0.5037928858979752,0.5829014381548541,0.2481847439984917,0.7175614372408821,54,18,2,30
20,beta,54,none,1.0,0.2628826196820547,0.261379434768694,0.3398370851762055,0.2881410836925199,0.5,0.5909297699093208,0.5421473073838752,0.6221624205786195,0.2457601844868853,0.7668172845598668,54,17,2,30
27,beta,54,none,1.0,0.2629736662896413,0.2617466328130161,0.3398276467728393,0.2918868369207953,0.5,0.6088515680684248,0.5237214896650035,0.6258686742694226,0.2389225303811054,0.7367248752672844,54,28,2,30
13,beta,54,none,1.0,0.2578294343877548,0.253417660045987,0.3566368946828803,0.2788951892956954,0.5,0.656168123776166,0.5667420502495931,0.6793761548856836,0.2259351166458313,0.7557985603574284,54,22,2,30
24,beta,54,none,1.0,0.2900149788153358,0.2990201694501798,0.4011057724022096,0.2956820411170165,0.5,0.5852702056432328,0.5530995934959348,0.6135341941654712,0.2642630977623674,0.7281384505021522,54,26,2,30
8,beta,54,none,1.0,0.2641548254917157,0.2724929025145692,0.3603513350654029,0.2883800492359301,0.5,0.5952359796822012,0.5337938898514668,0.6047811398354876,0.2427449271784829,0.7131295629896189,54,30,2,30
11,beta,54,none,1.0,0.2602816883595971,0.2621085694211129,0.3448423455939584,0.2677498287419431,0.5,0.637008637405253,0.545992714025501,0.6263073623597155,0.2507033438011444,0.692644985016746,54,4,2,30
47,beta,54,none,1.0,0.2440008526287855,0.2471010920233584,0.3151551933062819,0.2903213668388967,0.5,0.5302880501948855,0.4421427892385208,0.5750166365624109,0.2334688152363691,0.7496292423234147,54,25,2,30
31,beta,54,none,1.0,0.2531565675948914,0.2571218516435681,0.3232899656453011,0.2942838398694985,0.5,0.4809637335645138,0.4915203727785002,0.6106686172518421,0.2262578016985621,0.76431332177431,54,23,2,30
43,beta,54,none,1.0,0.2787806936223636,0.2888582771170217,0.3671932017106872,0.2963973016750561,0.5,0.58860338613361,0.5126680764473527,0.610501536128955,0.2482318188702631,0.7705315937171661,54,26,2,30
19,beta,54,none,1.0,0.2602816024843839,0.259706375707634,0.3340487836336002,0.2592371534100119,0.5,0.6203073177616258,0.6049149671865077,0.6549731846729235,0.2372943420666815,0.7555174299625997,54,2,2,30
12,beta,54,none,1.0,0.2600606519307519,0.2627021476678871,0.3328954333638713,0.2877034768204072,0.5,0.5786804451510333,0.5407472178060413,0.6339030206677265,0.2552526574991258,0.6614864864864864,54,16,2,30
48,beta,54,none,1.0,0.249814419113186,0.2531462372006501,0.3322552878796454,0.2690258955341241,0.5,0.5629912522424221,0.5270292763218731,0.5991381701836473,0.2425423145736623,0.7223372972573098,54,8,2,30
16,beta,54,none,1.0,0.2755518907783231,0.2799987111104524,0.3677195488765542,0.2929668553608984,0.5,0.5968014345586855,0.5052996656866628,0.6289747492649973,0.2444420593965981,0.7525872794122758,54,19,2,30
28,beta,54,none,1.0,0.2928323173737818,0.3076108296055208,0.3989154716289453,0.2878607694344331,0.5,0.5683412023921939,0.5794586087503935,0.613553666981429,0.2588570703360242,0.7413471828769278,54,3,2,30
36,beta,54,none,1.0,0.2630795643012563,0.2679135941442465,0.3554492777427089,0.2658926372811723,0.5,0.566137799973483,0.5573061681471988,0.6300216555442613,0.2422538789413006,0.7208423564767755,54,4,2,30
40,beta,54,none,1.0,0.2685780601734409,0.2857501625309212,0.3438145295176669,0.29841820020334,0.5,0.4759120022277917,0.4386487050960735,0.5301012949039264,0.2500245708073595,0.7340312587023112,54,17,2,30
17,beta,54,none,1.0,0.2641550652371234,0.2681720851912261,0.3445391050727835,0.2724228835791473,0.5,0.5904388623382679,0.5835470334537824,0.6417706026343397,0.2407783072562237,0.7213799685278004,54,6,2,30
21,beta,54,none,1.0,0.2569776803865247,0.2572868218654348,0.3337712974575273,0.2739822003202388,0.5,0.5982678271596478,0.5865401089675496,0.6264865190696393,0.2461868670059089,0.6329883836480141,54,6,2,30
29,beta,54,none,1.0,0.2811017572938686,0.3008762061107187,0.3658903626167623,0.2901830861505439,0.5,0.5078154047502194,0.5027811240500305,0.598648106009905,0.2637167998295024,0.6858110620324513,54,6,2,30
49,beta,54,none,1.0,0.2582105684578135,0.2594664004730727,0.3433414979692269,0.2877570003922377,0.5,0.5452575757575757,0.5656931818181818,0.620030303030303,0.2412465876130415,0.6939015151515153,54,20,2,30
9,beta,54,none,1.0,0.2575481967356344,0.2614543917664069,0.3521541491324038,0.2797778995764526,0.5,0.608065288832483,0.571777372477496,0.5991976351351351,0.2429594841567132,0.752523554576858,54,16,2,30
5,beta,54,none,1.0,0.2625751007595993,0.2697590266309247,0.3638471277413197,0.278803329284457,0.5,0.6163084888869277,0.5741582454437139,0.6070414662489152,0.250368591624621,0.6852521954017916,54,15,2,30
41,beta,54,none,1.0,0.2522593419062526,0.2561268318551992,0.3178620578870354,0.2972667142670133,0.5,0.4963406915104043,0.562940106021046,0.5899857678871782,0.2382678200110743,0.7325638895482238,54,26,2,30
1,beta,54,none,1.0,0.2789614069918657,0.290722488131617,0.3814103078723972,0.2893898888417883,0.5,0.56655814282681,0.4885766862481422,0.5933824049826598,0.2605114605354044,0.7066211338382051,54,13,2,30
33,beta,54,none,1.0,0.287634065198389,0.3100612610229147,0.3739539696944444,0.3106913320573259,0.5,0.5132117175950511,0.471739411249695,0.5450992680958967,0.2794934361374618,0.6708624574799419,54,27,2,30
37,beta,54,none,1.0,0.2671269839056493,0.2698474632409711,0.3686211174883008,0.2844549595900174,0.5,0.5908602034113629,0.6310155409746132,0.6304344687700758,0.2404922481430587,0.7283180666536737,54,21,2,30
45,beta,54,none,1.0,0.2780747250325892,0.2838792031588826,0.364273684567485,0.2977035279661428,0.5,0.6389892165778874,0.6188255164349745,0.6087402703016691,0.2613332670928991,0.6982330778225283,54,28,2,30
17,beta,1,32,0.1,0.4590349697066465,0.5531555296667615,0.5992072431312453,0.4414903172471272,0.5,0.5046296296296297,0.5620370370370371,0.7148148148148148,0.4206146735217519,0.7365740740740742,32,6,2,30
33,beta,1,32,0.1,0.4450940550031945,0.5046267717985656,0.5513344009386002,0.419854571249507,0.5,0.384297520661157,0.3522727272727273,0.6601239669421487,0.434397853963646,0.7293388429752067,32,3,2,30
4,beta,1,32,0.1,0.4657435323908075,0.5293172853483029,0.692675960233658,0.4500013914351674,0.5,0.5987500000000001,0.531875,0.6587500000000001,0.4524609698803006,0.610625,32,15,2,30
21,beta,1,32,0.1,0.4149647904304893,0.3996118554777571,0.4290670770844157,0.4141153265885182,0.5,0.6616809116809117,0.6417378917378918,0.6666666666666667,0.3793614789196683,0.7190170940170941,32,15,2,30
31,beta,1,32,0.1,0.4266571345170984,0.4091673601064354,0.5578091586571216,0.409706759520242,0.5,0.7217675941080196,0.6955810147299509,0.7242225859247136,0.4430560616321258,0.6063829787234042,32,24,2,30
42,beta,1,32,0.1,0.4529768602974834,0.4660821974240493,0.6922918994439011,0.4539929988254036,0.5,0.5187623436471362,0.6978275181040158,0.695852534562212,0.4053067297072533,0.7402896642527979,32,24,2,30
32,beta,1,32,0.1,0.4499817380908359,0.5308925604254623,0.6566962813664049,0.4441540188476676,0.5,0.606984126984127,0.5092063492063492,0.7136507936507936,0.4671573763165264,0.5212698412698412,32,10,2,30
49,beta,1,32,0.1,0.4291500197888694,0.4171088991164233,0.5186520932196427,0.4276204240459892,0.5,0.6235119047619048,0.40625,0.625,0.4363050149041406,0.5978422619047619,32,19,2,30
26,beta,1,32,0.1,0.4868515751875396,0.5204244120988367,0.7219764192354888,0.4676803783000436,0.5,0.6090509113764928,0.5329981143934632,0.6517913262099309,0.4629936586464804,0.6530483972344437,32,15,2,30
43,beta,1,32,0.1,0.4341999490242818,0.4703444701319714,0.5925334211975334,0.4271740661942192,0.5,0.6157289002557544,0.4296675191815856,0.6253196930946292,0.3972039856629583,0.7605498721227621,32,11,2,30
35,beta,1,32,0.1,0.4152341137487786,0.3765124774488961,0.392169094033733,0.3947641988004147,0.5,0.6313025210084033,0.4327731092436974,0.7563025210084033,0.4964938915430111,0.365546218487395,32,6,2,30
37,beta,1,32,0.1,0.4580311393084395,0.4868244564573076,0.6403647336045676,0.4531570127294119,0.5,0.687218045112782,0.4421052631578947,0.6984962406015038,0.4174254799483154,0.7406015037593985,32,2,2,30
11,beta,1,32,0.1,0.4536284248115547,0.4694600449583885,0.6347384402982977,0.4401569071511917,0.5,0.5312701482914248,0.553191489361702,0.6537717601547389,0.4631087034912965,0.5551257253384914,32,12,2,30
36,beta,1,32,0.1,0.4330064387250211,0.4531450760438843,0.6119518328034185,0.4250448841348019,0.5,0.6580766813324952,0.6285355122564426,0.6957888120678818,0.4589421354296358,0.5172847265870522,32,5,2,30
12,beta,1,32,0.1,0.4642943172522387,0.4797676056816488,0.6708193181234395,0.4557822350984062,0.5,0.550125313283208,0.6271929824561403,0.6766917293233082,0.5069054939890405,0.3796992481203007,32,18,2,30
25,beta,1,32,0.1,0.4490313595226026,0.4739215717800801,0.616882973400094,0.4369491447105116,0.5,0.5628703094140882,0.4713627386438446,0.5990783410138248,0.3765685931777254,0.8248847926267282,32,30,2,30
1,beta,1,32,0.1,0.4173138380739071,0.4090679808293905,0.4960398306793282,0.4010089658640964,0.5,0.5948275862068966,0.6183385579937305,0.6332288401253918,0.4531426261893707,0.5462382445141065,32,18,2,30
46,beta,1,32,0.1,0.4508105891578717,0.4846609871042677,0.580808879245386,0.4471346900888122,0.5,0.4773351648351648,0.4059065934065934,0.5645604395604396,0.4136417338311348,0.6991758241758241,32,2,2,30
15,beta,1,32,0.1,0.4390821968357603,0.48395795711558,0.5344538290317216,0.441993103835521,0.5,0.390282131661442,0.3236677115987461,0.4952978056426332,0.4408299557869546,0.6167711598746082,32,11,2,30
23,beta,1,32,0.1,0.4350945386155443,0.4202523993310736,0.5859337361532758,0.4123595323682655,0.5,0.6732736572890026,0.6751918158567776,0.7122762148337596,0.4046069996718594,0.6867007672634271,32,5,2,30
41,beta,1,32,0.1,0.4737856903320998,0.5136949367205345,0.7276744332559456,0.4567339003220079,0.5,0.486815415821501,0.5476673427991887,0.6318458417849897,0.4314691712261428,0.6497633536173091,32,18,2,30
28,beta,1,32,0.1,0.4313085322809074,0.4418473360771519,0.5293864494625862,0.4368292912596147,0.5,0.5430968726163234,0.5888634630053394,0.6498855835240275,0.4140356882879435,0.7254004576659039,32,30,2,30
40,beta,1,32,0.1,0.458667970724225,0.46193719205148,0.6184583689525937,0.4359878223866522,0.5,0.6483375959079284,0.6937340153452685,0.6758312020460358,0.4913341602762105,0.4811381074168798,32,17,2,30
29,beta,1,32,0.1,0.4509161682793542,0.5470327149899742,0.6194756019874166,0.4443541806007712,0.5,0.5921717171717171,0.4046717171717171,0.6237373737373737,0.457379591475442,0.5713383838383838,32,14,2,30
13,beta,1,32,0.1,0.4552115379878299,0.4851897524509039,0.6132847731179283,0.4499102039283975,0.5,0.5667311411992263,0.6247582205029014,0.7059961315280464,0.4580127089509138,0.5880077369439072,32,7,2,30
45,beta,1,32,0.1,0.4344255013233749,0.4201209904752636,0.6267565838072737,0.4295569134730115,0.5,0.7002314814814814,0.6412037037037037,0.6886574074074074,0.4448672628670445,0.5972222222222222,32,26,2,30
5,beta,1,32,0.1,0.4850740310857445,0.5137791104666313,0.5428221250744736,0.4585834456525736,0.5,0.6310496543054682,0.6920175989943432,0.7328724072910119,0.4610000341636744,0.7115021998742929,32,20,2,30
9,beta,1,32,0.1,0.4557153717859603,0.5465803715099812,0.618651910193095,0.4533678587863038,0.5,0.4423963133640552,0.4976958525345622,0.6728110599078341,0.5099368337707992,0.3285055957867018,32,27,2,30
3,beta,1,32,0.1,0.4323970156918195,0.4593966641150938,0.5674074466367267,0.4232199035890202,0.5,0.5760368663594471,0.5773535220539829,0.6431863067807768,0.4111914151213046,0.6846609611586569,32,12,2,30
